user_id,item_id,category_id,merchant_id,brand_id,time_stamp,action_type
34944,867,656,2116,7334,1017,0
252288,825,662,3990,5644,819,0
210048,866,1213,4255,1573,711,2
210048,866,1213,4255,1573,711,0
210048,866,1213,4255,1573,711,0
210048,866,1213,4255,1573,711,0
279168,857,1112,1110,2187,818,0
279168,857,1112,1110,2187,818,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,813,2
279168,857,1112,1110,2187,813,0
279168,857,1112,1110,2187,826,0
279168,857,1112,1110,2187,826,0
217728,862,1389,1393,4705,1103,0
285312,809,308,3058,8473,1030,2
285312,809,308,3058,8473,1030,0
285312,809,308,3058,8473,1030,0
349569,825,662,3990,5644,808,0
349569,825,662,3990,5644,808,0
221313,857,1112,1110,2187,1111,0
176514,857,1112,1110,2187,725,0
176514,857,1112,1110,2187,725,0
176514,857,1112,1110,2187,725,0
68994,866,1213,4255,1573,813,0
68994,866,1213,4255,1573,813,0
68994,866,1213,4255,1573,813,2
68994,866,1213,4255,1573,909,0
400770,919,1467,2217,3012,1109,0
8322,866,1213,4255,1573,902,0
8322,866,1213,4255,1573,902,0
8322,866,1213,4255,1573,902,0
8322,866,1213,4255,1573,903,0
356994,867,656,2116,7334,1031,0
105603,866,1213,4255,1573,814,2
329859,866,1213,4255,1573,816,0
94083,957,276,4083,830,1105,0
226947,867,656,2116,7334,1111,0
35460,862,1389,1393,4705,1111,0
371076,825,662,3990,5644,808,0
396420,866,1213,4255,1573,908,0
396420,866,1213,4255,1573,908,2
155268,862,1389,1393,4705,1025,0
89988,866,1213,4255,1573,711,0
89988,866,1213,4255,1573,711,0
89988,866,1213,4255,1573,711,2
89988,866,1213,4255,1573,711,0
89988,866,1213,4255,1573,711,0
188037,866,1213,4255,1573,710,2
348549,866,1213,4255,1573,712,0
23430,950,120,111,5659,911,0
97926,870,662,202,7614,822,0
378759,866,1213,4255,1573,714,0
195207,825,662,3990,5644,827,0
203655,909,662,461,1859,818,0
280455,891,898,983,5508,617,0
358791,919,1467,2217,3012,1111,0
358791,919,1467,2217,3012,1101,3
358791,919,1467,2217,3012,1101,0
358791,919,1467,2217,3012,1101,0
358791,919,1467,2217,3012,1102,0
358791,919,1467,2217,3012,923,0
358791,919,1467,2217,3012,904,0
358791,919,1467,2217,3012,924,0
15240,919,1467,2217,3012,1109,0
51081,889,1591,2993,5762,1021,0
51081,889,1591,2993,5762,1103,0
51081,889,1591,2993,5762,1009,0
64905,862,1389,1393,4705,1111,0
393,856,302,4344,7769,1025,0
139401,857,1112,1110,2187,816,0
349065,857,1112,1110,2187,626,0
396426,825,662,3990,5644,1111,0
408714,862,1389,1393,4705,812,0
408714,862,1389,1393,4705,812,0
278154,866,1213,4255,1573,821,0
414090,875,834,1259,4474,528,0
370827,958,1098,1407,2833,1111,0
370827,958,1098,1407,834,1111,2
255627,802,1075,2692,6343,722,0
105612,891,898,983,5508,617,0
237708,954,407,4818,7606,520,0
59532,857,1112,1110,2187,912,0
59532,857,1112,1110,2187,912,0
59532,857,1112,1110,2187,1111,0
211596,825,662,3990,5644,810,0
211596,825,662,3990,5644,810,0
293004,866,1213,4255,1573,828,0
99213,919,1467,2217,3012,1111,0
192141,862,1389,1393,4705,907,3
192141,862,1389,1393,4705,907,0
157581,802,1075,2692,6343,827,0
377742,862,1389,1393,4705,1111,0
284046,954,407,4818,7606,702,0
222606,825,662,3990,5644,1003,0
138639,885,1528,4243,2706,1009,0
140175,825,662,3990,5644,721,0
278415,866,1213,4255,1573,710,0
201360,802,1075,2692,6343,716,0
282000,826,737,1078,8099,820,0
231825,809,308,3058,8473,1111,0
231825,809,308,3058,8473,1111,0
231825,809,308,3058,8473,1111,0
231825,809,308,3058,8473,1105,0
231825,809,308,3058,8473,1105,0
208017,866,1213,4255,1573,710,2
209553,876,267,4644,8235,1022,0
221073,850,1397,3677,5434,622,0
108690,830,1147,682,390,528,0
383634,815,420,3918,2337,702,0
255378,954,407,4818,7606,526,0
67986,958,1098,1407,2833,1111,0
213138,826,737,1078,8099,716,0
258963,802,1075,2692,6343,805,0
258963,802,1075,2692,6343,805,0
181140,867,656,2116,7334,1031,0
6804,802,1075,2692,6343,721,0
145812,852,500,1728,5043,816,0
218772,862,1389,1393,4705,1111,0
306069,862,1389,1393,4705,1111,0
306069,862,1389,1393,4705,1101,0
277653,826,737,1078,8099,814,0
162453,802,1075,2692,6343,720,0
293781,866,1213,4255,1573,710,0
293781,866,1213,4255,1573,710,0
293781,866,1213,4255,1573,716,0
293781,866,1213,4255,1573,716,0
293781,866,1213,4255,1573,713,0
118422,945,639,2170,4192,1008,0
1686,825,662,3990,5644,902,0
229527,958,1098,1407,2833,1111,0
229527,958,1098,1407,2833,1111,0
379287,891,898,983,5508,725,0
94359,825,662,3990,5644,810,0
367512,866,1213,4255,1573,1031,0
367512,866,1213,4255,1573,1020,0
367512,866,1213,4255,1573,1020,3
367512,866,1213,4255,1573,1020,0
105624,891,898,983,5508,613,0
140184,875,834,1259,4474,811,0
356760,862,1389,1393,4705,831,0
247449,825,662,3990,5644,823,0
48282,866,1213,4255,1573,915,0
181146,876,267,4644,8235,1111,0
248730,866,1213,4255,1573,806,0
323994,825,662,3990,5644,811,0
323994,825,662,3990,5644,811,0
323994,825,662,3990,5644,811,3
350106,862,1389,1393,4705,805,0
327579,870,662,202,7614,730,0
133275,954,407,4818,7606,524,0
344475,866,1213,4255,1573,813,2
301980,850,1397,3677,5434,529,0
262044,826,737,1078,8099,926,0
283548,866,1213,4255,1573,712,0
283548,866,1213,4255,1573,712,0
283548,866,1213,4255,1573,712,0
283548,866,1213,4255,1573,712,2
283548,866,1213,4255,1573,712,0
283548,866,1213,4255,1573,712,0
283548,866,1213,4255,1573,712,0
39069,826,737,1078,8099,615,3
39069,826,737,1078,8099,616,0
205725,821,389,471,3431,1103,0
413853,916,563,3462,2997,807,0
296862,867,656,2116,7334,1106,0
243102,951,266,4525,4778,804,0
40095,857,1112,1110,2187,609,0
325791,825,662,3990,5644,722,0
197535,824,351,2675,7947,727,0
61344,866,1213,4255,1573,813,0
392352,954,407,4818,7606,909,0
392352,954,407,4818,7606,909,0
392352,954,407,4818,7606,908,0
392352,954,407,4818,7606,908,2
326817,876,267,4644,8235,1110,0
326817,876,267,4644,8235,1110,0
326817,876,267,4644,8235,1110,0
326817,876,267,4644,8235,1110,0
326817,876,267,4644,8235,1110,0
326817,876,267,4644,8235,1110,0
326817,876,267,4644,8235,1110,0
395682,866,1213,4255,1573,828,3
4770,897,1181,1907,1686,1027,0
19362,870,662,202,7614,710,0
323235,802,1075,2692,6343,813,0
330147,866,1213,4255,1573,826,0
161187,853,1238,232,7479,1111,0
161187,853,1238,232,7479,1111,0
161187,853,1238,232,7479,1030,0
168612,870,662,202,7614,715,0
301476,866,1213,4255,1573,1019,0
53412,880,833,173,4509,711,0
53412,880,833,173,4509,728,0
224676,954,407,4818,7606,718,0
165285,866,1213,4255,1573,814,0
165285,866,1213,4255,1573,814,0
165285,866,1213,4255,1573,814,0
165285,866,1213,4255,1573,814,2
51621,870,662,202,7614,717,0
51621,934,1438,2108,1793,619,0
56229,825,662,3990,5644,830,0
234918,866,1213,4255,1573,723,0
307878,862,1389,1393,4705,1111,2
307878,862,1389,1393,4705,1111,0
22182,891,898,983,5508,617,0
66471,825,662,3990,5644,819,3
66471,825,662,3990,5644,819,0
11943,870,662,202,7614,827,0
11943,870,662,202,7614,827,3
11943,870,662,202,7614,902,0
11943,870,662,202,7614,805,0
11943,826,737,1078,8099,618,0
269481,931,1505,2212,4821,1111,0
11433,866,1213,4255,1573,712,0
11433,866,1213,4255,1573,713,0
11433,866,1213,4255,1573,713,2
11433,866,1213,4255,1573,713,0
11433,866,1213,4255,1573,713,0
87465,876,267,4644,8235,1111,2
354729,867,656,2116,7334,1103,0
150186,802,1075,2692,6343,828,0
286890,825,662,3990,5644,819,0
91818,891,898,983,5508,617,0
91818,891,898,983,5508,617,0
394668,891,898,983,5508,617,3
394668,891,898,983,5508,617,2
36525,866,1213,4255,1573,814,0
36525,866,1213,4255,1573,813,0
36525,866,1213,4255,1573,813,0
36525,866,1213,4255,1573,813,2
36525,866,1213,4255,1573,813,2
29613,866,1213,4255,1573,813,2
29613,866,1213,4255,1573,813,0
29613,866,1213,4255,1573,813,0
29613,866,1213,4255,1573,813,0
29613,866,1213,4255,1573,813,0
29613,866,1213,4255,1573,813,2
97197,958,1098,1407,2833,913,0
97197,958,1098,1407,2833,913,3
97197,958,1098,1407,2833,913,0
97197,958,1098,1407,2833,913,0
362670,862,1389,1393,4705,1111,0
102318,866,1213,4255,1573,710,0
282798,862,1389,1393,4705,1111,0
420783,866,1213,4255,1573,803,0
228015,880,833,173,4509,628,0
323760,857,1112,1110,2187,822,0
323760,857,1112,1110,2187,821,3
323760,857,1112,1110,2187,821,0
271536,866,1213,4255,1573,710,2
156336,826,737,1078,8099,717,3
304305,943,1505,3848,4452,1011,0
370353,862,1389,1393,4705,830,0
404145,866,1213,4255,1573,822,2
404145,866,1213,4255,1573,822,2
404145,866,1213,4255,1573,822,2
404145,866,1213,4255,1573,822,2
306354,862,1389,1393,4705,815,0
392370,954,407,4818,7606,703,0
392370,954,407,4818,7606,703,0
261810,880,833,173,4509,812,0
77490,866,1213,4255,1573,710,0
77490,866,1213,4255,1573,710,0
77490,866,1213,4255,1573,710,0
278706,920,1213,4459,6441,521,0
211635,809,308,3058,8473,1104,0
314037,856,302,4344,7769,1030,0
135093,916,563,3462,2997,903,2
135093,916,563,3462,2997,903,0
142005,813,1023,893,7224,1031,0
143541,866,1213,4255,1573,712,2
143541,866,1213,4255,1573,712,0
143541,866,1213,4255,1573,712,0
143541,866,1213,4255,1573,718,0
38838,866,1213,4255,1573,810,0
174006,866,1213,4255,1573,813,2
403638,866,1213,4255,1573,710,0
150198,826,737,1078,8099,803,0
419766,949,1238,3877,3213,722,0
146103,891,898,983,5508,617,2
295608,866,1213,4255,1573,902,0
59832,825,662,3990,5644,804,0
135096,857,1112,1110,2187,527,0
15288,919,1467,2217,3012,831,0
19128,880,833,173,4509,625,0
19128,880,833,173,4509,625,0
19128,880,833,173,4509,625,0
19128,880,833,173,4509,625,0
19128,880,833,173,4509,625,0
289464,821,389,471,3431,1022,0
378297,860,1238,3491,3969,530,0
93369,916,563,3462,2997,801,0
31929,866,1213,4255,1573,713,0
31929,866,1213,4255,1573,713,0
31929,866,1213,4255,1573,713,2
31929,866,1213,4255,1573,713,0
31929,866,1213,4255,1573,713,0
31929,866,1213,4255,1573,713,0
37818,958,1098,1407,2833,1111,0
37818,958,1098,1407,2833,1111,0
37818,958,1098,1407,2833,1110,0
386490,866,1213,4255,1573,813,0
386490,866,1213,4255,1573,813,2
103611,916,563,3462,2997,904,0
103611,916,563,3462,2997,904,2
103611,916,563,3462,2997,904,0
103611,916,563,3462,2997,904,0
307899,866,1213,4255,1573,813,0
307899,866,1213,4255,1573,813,0
307899,866,1213,4255,1573,813,0
307899,866,1213,4255,1573,813,0
307899,866,1213,4255,1573,813,0
307899,866,1213,4255,1573,813,2
178875,857,1112,1110,2187,923,0
320187,866,1213,4255,1573,710,0
320187,866,1213,4255,1573,710,0
320187,866,1213,4255,1573,710,0
320187,866,1213,4255,1573,710,2
