user_id,merchant_id,label,kind
34944,2116,-1,train
252288,3990,-1,train
210048,4255,-1,train
210048,4255,-1,train
210048,4255,-1,train
210048,4255,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
279168,1110,-1,train
217728,1393,-1,train
285312,3058,-1,train
285312,3058,-1,train
285312,3058,-1,train
349569,3990,-1,train
349569,3990,-1,train
221313,1110,-1,train
176514,1110,-1,train
176514,1110,-1,train
176514,1110,-1,train
68994,4255,-1,train
68994,4255,-1,train
68994,4255,-1,train
68994,4255,-1,train
400770,2217,0,train
8322,4255,-1,train
8322,4255,-1,train
8322,4255,-1,train
8322,4255,-1,train
356994,2116,-1,train
105603,4255,-1,train
329859,4255,-1,train
94083,4083,-1,train
226947,2116,-1,train
35460,1393,-1,train
371076,3990,-1,train
396420,4255,-1,train
396420,4255,-1,train
155268,1393,-1,train
89988,4255,-1,train
89988,4255,-1,train
89988,4255,-1,train
89988,4255,-1,train
89988,4255,-1,train
188037,4255,-1,train
348549,4255,-1,train
23430,111,-1,train
97926,202,-1,train
378759,4255,-1,train
195207,3990,-1,train
203655,461,-1,train
280455,983,-1,train
358791,2217,-1,train
358791,2217,-1,train
358791,2217,-1,train
358791,2217,-1,train
358791,2217,-1,train
358791,2217,-1,train
358791,2217,-1,train
358791,2217,-1,train
15240,2217,-1,train
51081,2993,-1,train
51081,2993,-1,train
51081,2993,-1,train
64905,1393,-1,train
393,4344,-1,train
139401,1110,-1,train
349065,1110,-1,train
396426,3990,0,train
408714,1393,-1,train
408714,1393,-1,train
278154,4255,-1,train
414090,1259,-1,train
370827,1407,0,train
370827,1407,0,train
255627,2692,-1,train
105612,983,-1,train
237708,4818,-1,train
59532,1110,-1,train
59532,1110,-1,train
59532,1110,-1,train
211596,3990,-1,train
211596,3990,-1,train
293004,4255,-1,train
99213,2217,0,train
192141,1393,-1,train
192141,1393,-1,train
157581,2692,-1,train
377742,1393,-1,train
284046,4818,-1,train
222606,3990,-1,train
138639,4243,-1,train
140175,3990,-1,train
278415,4255,-1,train
201360,2692,-1,train
282000,1078,-1,train
231825,3058,-1,train
231825,3058,-1,train
231825,3058,-1,train
231825,3058,-1,train
231825,3058,-1,train
208017,4255,-1,train
209553,4644,-1,train
221073,3677,-1,train
108690,682,-1,train
383634,3918,-1,train
255378,4818,-1,train
67986,1407,0,train
213138,1078,-1,train
258963,2692,-1,train
258963,2692,-1,train
181140,2116,-1,train
6804,2692,-1,train
145812,1728,-1,train
218772,1393,-1,train
306069,1393,0,train
306069,1393,0,train
277653,1078,-1,train
162453,2692,-1,train
293781,4255,-1,train
293781,4255,-1,train
293781,4255,-1,train
293781,4255,-1,train
293781,4255,-1,train
118422,2170,-1,train
1686,3990,-1,train
229527,1407,0,train
229527,1407,0,train
379287,983,-1,train
94359,3990,-1,train
367512,4255,-1,train
367512,4255,-1,train
367512,4255,-1,train
367512,4255,-1,train
105624,983,-1,train
140184,1259,-1,train
356760,1393,-1,train
247449,3990,-1,train
48282,4255,-1,train
181146,4644,-1,train
248730,4255,-1,train
323994,3990,-1,train
323994,3990,-1,train
323994,3990,-1,train
350106,1393,-1,train
327579,202,-1,train
133275,4818,-1,train
344475,4255,-1,train
301980,3677,-1,train
262044,1078,-1,train
283548,4255,-1,train
283548,4255,-1,train
283548,4255,-1,train
283548,4255,-1,train
283548,4255,-1,train
283548,4255,-1,train
283548,4255,-1,train
39069,1078,-1,train
39069,1078,-1,train
205725,471,-1,train
413853,3462,-1,train
296862,2116,-1,train
243102,4525,-1,train
40095,1110,-1,train
325791,3990,-1,train
197535,2675,-1,train
61344,4255,-1,train
392352,4818,-1,train
392352,4818,-1,train
392352,4818,-1,train
